Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2022-10-26,9800.0,10200.0,9600.0,10200.0,63
2022-10-27,9200.0,9800.0,9000.0,9600.0,92
2022-10-28,9400.0,9400.0,9000.0,9200.0,47
2022-10-31,9000.0,9600.0,9000.0,9600.0,32
2022-11-01,9000.0,9200.0,8800.0,9000.0,37
2022-11-02,9200.0,9400.0,9000.0,9200.0,60
2022-11-03,9200.0,9200.0,8800.0,8800.0,40
2022-11-04,9000.0,9200.0,8800.0,9200.0,39
2022-11-07,9200.0,9600.0,9000.0,9200.0,45
2022-11-08,9200.0,10000.0,9000.0,9600.0,59
2022-11-09,8800.0,9400.0,8600.0,9400.0,54
2022-11-10,8800.0,9200.0,8600.0,8800.0,81
2022-11-11,9400.0,9400.0,9000.0,9200.0,45
2022-11-14,9800.0,10000.0,9200.0,9400.0,65
2022-11-15,10000.0,10200.0,9600.0,10000.0,57
2022-11-16,9200.0,12200.0,9200.0,10200.0,367
2022-11-17,9000.0,9600.0,8600.0,9600.0,88
2022-11-18,8400.0,9200.0,8200.0,9200.0,114
2022-11-21,7800.0,8600.0,7800.0,8600.0,129
2022-11-22,7800.0,8000.0,7800.0,8000.0,46
2022-11-23,7600.0,8200.0,7600.0,8200.0,110
2022-11-25,8000.0,8000.0,7600.0,7800.0,24
2022-11-28,7600.0,8000.0,7400.0,7800.0,58
2022-11-29,7800.0,7800.0,7600.0,7600.0,27
2022-11-30,7800.0,8000.0,7600.0,7800.0,66
2022-12-01,7600.0,7800.0,7400.0,7600.0,133
2022-12-02,7800.0,8200.0,7200.0,7400.0,138
2022-12-05,8000.0,8200.0,7800.0,8000.0,84
2022-12-06,7800.0,8000.0,7400.0,8000.0,65
2022-12-07,7400.0,7800.0,7200.0,7800.0,59
2022-12-08,7400.0,7600.0,7400.0,7400.0,48
2022-12-09,7400.0,7600.0,7000.0,7400.0,83
2022-12-12,8000.0,15200.0,7800.0,11400.0,8043
2022-12-13,7400.0,8000.0,7200.0,7800.0,836
2022-12-14,6800.0,7200.0,6800.0,7200.0,449
2022-12-15,6600.0,6800.0,6600.0,6800.0,171
2022-12-16,6400.0,6600.0,6000.0,6600.0,291
2022-12-19,5800.0,6400.0,5800.0,6400.0,226
2022-12-20,6200.0,6600.0,5800.0,5800.0,202
2022-12-21,6400.0,6600.0,6200.0,6400.0,93
2022-12-22,6600.0,6600.0,6200.0,6400.0,78
2022-12-23,6600.0,6800.0,6400.0,6600.0,69
2022-12-27,6800.0,6800.0,6400.0,6800.0,134
2022-12-28,6600.0,6800.0,6400.0,6800.0,70
2022-12-29,7000.0,7000.0,6600.0,6600.0,99
2022-12-30,7800.0,7800.0,6600.0,6800.0,181
2023-01-03,9200.0,9200.0,7800.0,7800.0,444
2023-01-04,10000.0,10400.0,8400.0,9400.0,266
2023-01-05,12000.0,12400.0,9600.0,10000.0,607
2023-01-06,13600.0,16400.0,12400.0,12400.0,788
2023-01-09,16400.0,16800.0,14000.0,14600.0,501
2023-01-10,20600.0,21600.0,16800.0,17000.0,942
2023-01-11,18800.0,19200.0,16000.0,19000.0,688
2023-01-12,24000.0,24000.0,18200.0,18400.0,542
2023-01-13,26000.0,31400.0,23000.0,23400.0,824
2023-01-17,21600.0,28600.0,21000.0,26200.0,457
2023-01-18,20800.0,22400.0,19400.0,21600.0,273
2023-01-19,23600.0,25000.0,20200.0,20600.0,439
2023-01-20,24600.0,25400.0,22400.0,25400.0,271
2023-01-23,23800.0,25800.0,23200.0,23800.0,228
2023-01-24,21600.0,24400.0,21400.0,24400.0,155
2023-01-25,23200.0,24600.0,19600.0,20800.0,260
2023-01-26,23000.0,23400.0,21600.0,23000.0,107
2023-01-27,23000.0,24000.0,22400.0,23000.0,86
2023-01-30,22000.0,22800.0,21800.0,22800.0,48
2023-01-31,22400.0,22800.0,21600.0,22200.0,77
2023-02-01,23400.0,25000.0,21400.0,21400.0,183
2023-02-02,23600.0,24800.0,22600.0,23600.0,135
2023-02-03,24600.0,25200.0,23000.0,23400.0,114
2023-02-06,24000.0,24600.0,23400.0,24400.0,50
2023-02-07,23600.0,24000.0,23000.0,23800.0,58
2023-02-08,24600.0,26600.0,23000.0,23000.0,202
2023-02-09,22200.0,25400.0,22200.0,25000.0,113
2023-02-10,21000.0,21800.0,20000.0,21800.0,93
2023-02-13,21000.0,21000.0,19800.0,20200.0,68
2023-02-14,20600.0,21000.0,20000.0,21000.0,31
2023-02-15,21400.0,21400.0,20400.0,20600.0,35
2023-02-16,20000.0,21400.0,19800.0,21200.0,57
2023-02-17,18200.0,20200.0,18000.0,20000.0,115
2023-02-21,17000.0,18000.0,16200.0,18000.0,92
2023-02-22,14400.0,17200.0,14200.0,16800.0,138
2023-02-23,14600.0,15200.0,13600.0,14800.0,119
2023-02-24,12800.0,14800.0,12400.0,14800.0,122
2023-02-27,13800.0,14000.0,12400.0,12800.0,65
2023-02-28,14000.0,14800.0,13200.0,14200.0,57
2023-03-01,14400.0,14800.0,13400.0,13600.0,45
2023-03-02,14200.0,14200.0,13400.0,14200.0,23
2023-03-03,14800.0,15800.0,13800.0,14200.0,81
2023-03-06,14200.0,15600.0,13600.0,14800.0,175
2023-03-07,12800.0,14400.0,12600.0,14000.0,114
2023-03-08,13000.0,13400.0,12400.0,12600.0,36
2023-03-09,13000.0,13200.0,12800.0,13000.0,26
2023-03-10,12400.0,13200.0,12200.0,13200.0,44
2023-03-13,14000.0,14400.0,12400.0,12400.0,89
